Batch No,Main tag number,Entry Mass,Gender,Breed,Name,Mortality,Date,Mortality Report,Sold,Sale Batch,Sale date,Notes
54232 - FEEDLOT,26-01-05-149893,201,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68529,"February 6, 2026",
54232 - FEEDLOT,26-01-05-152489,262,Male,Braford,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-179751,195,Male,Braford,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-171286,202,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-171056,267,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-178383,217,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-184180,195,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-185016,198,Male,Bonsmara,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-179997,217,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-171508,202,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182467,199,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-172657,205,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-178460,200,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-118836,217,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-122411,228,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182164,203,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182223,197,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-152516,195,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-176211,218,Male,Braford,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-180367,244,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182310,220,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-178883,199,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-183855,212,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-160369,239,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-145919,224,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-181140,235,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-156945,259,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-178953,195,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-177647,200,Male,Bonsmara,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-126217,228,Male,Afrikaner,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182252,209,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182264,214,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-130664,210,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-170999,192,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182565,208,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-185048,222,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-181237,206,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-147270,175,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-179955,222,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-183109,261,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182222,226,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-171267,192,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-180185,213,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-178748,201,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182332,245,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-180230,207,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-181097,221,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182360,208,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-128594,197,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-178658,212,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-175760,206,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-183731,208,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-170920,222,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-181133,204,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-185249,198,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-121453,220,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-171035,236,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-171534,248,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-184175,196,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-172660,196,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-180553,197,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-182295,211,Male,Braford,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-150127,242,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-171387,258,Male,Simmentaler,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-175594,247,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-160786,175,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
54232 - FEEDLOT,26-01-05-184294,206,Male,Brahman,Batch 1012 - SVC Farming,,,,checked,68530,"February 19, 2026",
